CAS Number,SMILES
10386842,Fc1c(F)c(c(F)c(F)c1Br)c2c(F)c(F)c(Br)c(F)c2F
13252136,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
13252147,OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
13838169,FC(F)OC(F)(F)C(F)Cl
15096523,NA
16919190,NA
17823380,Nc1c(F)c(F)c(C#N)c(F)c1F
19161309,Oc1c(F)c(F)c(C#N)c(F)c1F
21386210,Fc1c(F)c(c(F)c(F)c1S)c2c(F)c(F)c(S)c(F)c2F
22898017,OC(=O)C(F)(F)C(F)F
24448097,CN(CCO)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
26675467,FC(F)OC(Cl)C(F)(F)F
27619972,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
27854315,OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
28016015,Fc1ccc(F)c(F)c1F
28041625,Oc1c(F)c(F)c(F)c(F)c1I
28442275,Fc1c(F)c(c(F)c(F)c1I)c2c(F)c(F)c(I)c(F)c2F
28442300,Fc1c(F)c(c(F)c(F)c1C#N)c2c(F)c(F)c(C#N)c(F)c2F
28520185,Fc1c(F)c(F)c(CC=O)c(F)c1F
28523866,FCOC(C(F)(F)F)C(F)(F)F
29081569,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
29420493,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
29457725,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
29553262,CC(C)(O)C(F)(F)C(F)F
30381987,[NH4+].CCN(CCO[P]([O-])(=O)OCCN(CC)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
34455293,C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O
45048622,OC(=O)C(F)(F)C(F)(F)C(F)(F)F
45285516,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
53826123,OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
53826134,OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
55101672,FC1(F)CC(F)(F)C(F)(F)C(F)(F)C1(F)F
59587381,[K].O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
62037803,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
70225148,OCCNCCO.O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
70887842,OC(=O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
70887886,OC(=O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
70887897,OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
70887900,OC(=O)C=C(F)C(F)(F)C(F)(F)C(F)(F)F
70887944,OC(=O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
